"id","serie","number","title"
"29645","De Wonderbaarlijke Spinneman ","59"," Een Monster Genaamd Morbius (Bewerkt)"
"29646","Disneyland ","1998"," 01 (Mist blz 14 tm 18)"
"29647","Donald Duck ","2001","42"
"29648","Maghella ","22"," Lady Godiva"
"29649","Jommeke ","5"," De Muziekale Bella (1960)"
"29650","Duo Beeldroman ","23"," Een Kus Van Carina"
"29651","DirkJan ","14"," DirkJan 14"
"29652","Robbedoes Weekblad ","1994","2953"
"29653","Flippie Flink ","2"," Pocket 2"
"29654","Penny Plus ","2009","3"
"29655","Leonardo ","4"," De Stem Van De Meester"
"29656","De Verdedigers ","39"," Honger!"
"29657","Star Wars "," SP08 "," Heisa Op Hoth"
"29658","Suske En Wiske Weekblad ","1998","33"
"29659","Toenga "," P04 "," Vriend Of Vijand"
"29660","Climax ","10"," De Terroristen"
"29661","Donald Duck ","1987","28"
"29662","Tibor, Zoon Van Het Oerwoud ","186"," Onderaards Gevecht"
"29663","Tina ","1977","48"
"29664","Prins Valiant (Tijdschrift) ","50"," Deel 50"
"29665","Donald Duck Junior ","2014","26"
"29666","Donald Duck Extra "," 1988 02 "," In Het Hol Van De Leeuw"
"29667","Fred Penner ","41"," Het Geheim Van De Arendsrots"
"29668","Kuifje Weekblad ","1972","35"
"29669","Kuifje Weekblad ","1965","52"
"29670","Klein Suske En Wiske "," A08 "," In Space"
"29671","Pep Parade ","9"," Pep Parade 09"
"29672","MAD ","68"," Nr 068"
"29673","Black Hills ","1"," Dansen Met Geesten"
"29674","Tina ","1974","49"
"29675","Garfield "," P01 "," Pocket 01"
"29676","Sprookjes In Beeld ","15"," Goudhaartje En De Drie Beren"
"29677","Donald Duck ","2008","41"
"29678","MAD ","228"," Nummer 228"
"29679","Michel Vaillant ","20"," Rodeo Op Twee Wielen"
"29680","The Darkness ","7"," Spear Of Destiny Deel 1"
"29681","Suske En Wiske TV ","1"," Het Mopperende Masker"
"29682","Donald Duck ","1993","41"
"29683","De Laatste Kathaar ","2"," Het Bloed Van De Ketters"
"29684","Eppo ","2009","7"
"29685","Donald Duck ","1982","7"
"29686","Quark ","1"," Deel 1"
"29687","Donald Duck ","2012","36"
"29688","Mickey Maandblad ","1987","9"
"29689","Pandora ","1"," De Dwaze Regent"
"29690","Victoria ","343"," De Laatste Gladator"
"29691","Bone "," V03 "," In Het Oog Van De Storm"
"29692","Robbedoes En Kwabbernoot ","20"," De Goudmaker"
"29693","Travis ","2"," Operatie Minotaurus"
"29694","Losstaande Albums Van Claude Auclair ","7"," Een Stem Die Van Nergens Komt"
"29695","MAD ","173"," Nummer 173"
"29696","Donald Duck ","1977","11"
"29697","Jeremiah ","18"," Ave Caesar"
"29698","Sjors En Sjimmie Extra ","1993","14"
"29699","Samson & Gert Krant ","113"," Nummer 113"
"29700","Illustrated Classics ","120"," De Man Die Altijd Lacht (Aangevuld&Bewerkt)"
"29701","Sjors ","1973","51"
"29702","Bakelandt ","90"," De Rode Mantels"
"29703","Dolgedraaid ","1"," Paviljoenstraat 3 Niets Is Te Gek"
"29704","Tarzan (Classics) "," P07 "," Tarzan Van De Apen Nr 07 (Andere scan)"
"29705","Robbedoes Weekblad ","1944","251"
"29706","Kuifje Weekblad ","1951","31"
"29707","Bernard Prince ","7"," Verschroeide Aarde"
"29708","Bakelandt ","18"," De Prins Van Oranje"
"29709","Piloot Storm "," V08 "," Conflict Onder Aurora Borealis"
"29710","Shock ","12"," De Dood Kwam Om... Middernacht"
"29711","De Huurling ","12"," De Ontvoering"
"29712","Zonneland ","1957"," 46 (Incompleet)"
"29713","Olivier Blunder ","14"," Koning Van Mallotie"
"29714","Disneyland ","1973","13"
"29715","SjoSji Extra ","1997","9"
"29716","Dan Cooper ","23"," Crash Op 135"
"29717","Mickey Maandblad ","1985","9"
"29718","Eppo ","1983","1"
"29719","Stripschrift ","148"," Nummer 148"
"29720","Losstaande Albums Van Dick Matena ","3"," Lazarus Stone"
"29721","Donald Duck ","1999","43"
"29722","Sjors ","1966"," 38 (Compleet)"
"29723","Sigmund "," B01 "," Sigmund Weet Wel Raad Met Managers"
"29724","Suldaat Maffe ","9"," Kleren Maken De Man"
"29725","Donald Duck ","1959","42"
"29726","De Poorten Naar Het Mogelijke ","1"," De Poorten Naar Het Mogelijke"
"29727","Tina ","1970","46"
